NUMBER_I,MAG_APER_I,MAGERR_APER_I,MAG_AUTO_I,MAGERR_AUTO_I,MAG_BEST_I,MAGERR_BEST_I,KRON_RADIUS_I,BACKGROUND_I,THRESHOLD_I,ISOAREA_IMAGE_I,ISOAREAF_IMAGE_I,ALPHAPEAK_J2000_I,DELTAPEAK_J2000_I,X_IMAGE_I,Y_IMAGE_I,FWHM_IMAGE_I,FWHM_WORLD_I,ELONGATION_I,ELLIPTICITY_I,CLASS_STAR_I,FLUX_RADIUS_I,FILE_NAME_I,NUMBER_R,MAG_APER_R,MAGERR_APER_R,MAG_AUTO_R,MAGERR_AUTO_R,MAG_BEST_R,MAGERR_BEST_R,KRON_RADIUS_R,BACKGROUND_R,THRESHOLD_R,ISOAREA_IMAGE_R,ISOAREAF_IMAGE_R,ALPHAPEAK_J2000_R,DELTAPEAK_J2000_R,X_IMAGE_R,Y_IMAGE_R,FWHM_IMAGE_R,FWHM_WORLD_R,ELONGATION_R,ELLIPTICITY_R,CLASS_STAR_R,FLUX_RADIUS_R,FILE_NAME_R,NUMBER_G,MAG_APER_G,MAGERR_APER_G,MAG_AUTO_G,MAGERR_AUTO_G,MAG_BEST_G,MAGERR_BEST_G,KRON_RADIUS_G,BACKGROUND_G,THRESHOLD_G,ISOAREA_IMAGE_G,ISOAREAF_IMAGE_G,ALPHAPEAK_J2000_G,DELTAPEAK_J2000_G,X_IMAGE_G,Y_IMAGE_G,FWHM_IMAGE_G,FWHM_WORLD_G,ELONGATION_G,ELLIPTICITY_G,CLASS_STAR_G,FLUX_RADIUS_G,FILE_NAME_G
4006,-15.1231,0.0008,-18.1042,0.0003,-18.1042,0.0003,3.50,4443.206,158.8562,1659,1757,148.7281868,+69.2253382,882.996,2192.613,41.21,0.002140866,3.695,0.729,0.84,8.863,dataset\i24.cat,2967,-15.1866,0.0008,-17.8840,0.0003,-17.8840,0.0003,3.50,2350.965,108.2077,1921,2031,148.7267586,+69.2245361,917.082,2272.121,35.95,0.001867182,2.092,0.522,0.73,6.653,dataset\r24.cat,3123,-15.2424,0.0008,-17.8225,0.0003,-17.8225,0.0003,3.50,1652.152,90.98881,2033,2195,148.7228556,+69.2261038,863.613,2326.494,32.94,0.001710931,1.556,0.357,0.99,6.038,dataset\g24.cat
4306,-15.1297,0.0008,-17.6944,0.0003,-17.6944,0.0003,3.50,4363.237,158.8562,1343,1437,148.6471580,+69.2282507,1435.654,2271.944,33.82,0.001756972,2.386,0.581,0.83,6.431,dataset\i24.cat,3061,-15.1898,0.0008,-17.5458,0.0003,-17.5458,0.0003,3.50,2293.72,108.2077,1504,1605,148.6458618,+69.2284334,1469.563,2352.016,29.65,0.001540398,1.493,0.330,0.96,5.426,dataset\r24.cat,3183,-15.2409,0.0008,-17.7853,0.0003,-17.7853,0.0003,3.50,1608.623,90.98881,1961,2117,148.6419518,+69.2301606,1415.799,2407.795,32.00,0.001662057,1.396,0.284,1.00,5.880,dataset\g24.cat
3649,-15.1156,0.0008,-16.4588,0.0006,-16.4588,0.0006,3.50,4659.486,158.8562,666,785,148.7710041,+69.1937198,592.706,1608.721,19.48,0.001011923,1.170,0.145,0.99,3.342,dataset\i24.cat,2522,-15.1779,0.0008,-16.3932,0.0005,-16.3932,0.0005,3.50,2526.304,108.2077,716,754,148.7695709,+69.1938538,627.030,1689.291,7.60,0.0003945469,1.081,0.075,1.00,3.150,dataset\r24.cat,2530,-15.2403,0.0008,-16.6170,0.0005,-16.6170,0.0005,3.50,1802.766,90.98881,1002,1067,148.7652223,+69.1953151,576.217,1741.242,7.67,0.0003983879,1.106,0.095,1.00,3.432,dataset\g24.cat
3547,-15.1139,0.0008,-16.6469,0.0005,-16.6469,0.0005,3.50,4548.292,158.8562,867,947,148.6885766,+69.1908322,1155.684,1554.288,22.37,0.001161775,1.298,0.230,0.95,3.683,dataset\i24.cat,2445,-15.1726,0.0008,-16.4507,0.0005,-16.4507,0.0005,3.50,2428.155,108.2077,968,1027,148.6872905,+69.1909122,1189.713,1635.334,7.71,0.0004002909,1.116,0.104,1.00,3.255,dataset\r24.cat,2407,-15.2369,0.0008,-16.5025,0.0005,-16.5025,0.0005,3.50,1724.16,90.98881,1363,1481,148.6829339,+69.1924809,1138.985,1689.927,7.18,0.0003728018,1.068,0.064,1.00,3.352,dataset\g24.cat
1769,-15.1079,0.0008,-17.2418,0.0004,-17.2418,0.0004,3.50,5308.025,158.8562,1133,1228,148.7328457,+69.1476435,857.738,715.156,27.97,0.001453024,1.801,0.445,0.81,5.072,dataset\i24.cat,1248,-15.1685,0.0008,-17.0381,0.0004,-17.0381,0.0004,3.50,2987.2,108.2077,1223,1301,148.7314248,+69.1476206,892.277,795.924,24.64,0.001279752,1.169,0.145,0.99,4.233,dataset\r24.cat,1149,-15.2303,0.0008,-17.0547,0.0004,-17.0547,0.0004,3.50,2237.808,90.98881,1840,2029,148.7261850,+69.1488743,845.177,848.896,15.24,0.0007916096,1.147,0.128,1.00,4.158,dataset\g24.cat
6,-15.0866,0.0009,-16.2618,0.0007,-16.2618,0.0007,3.50,6169.943,158.8562,688,754,148.7376659,+69.1124362,827.781,42.112,10.56,0.0005486693,1.104,0.094,0.99,3.092,dataset\i24.cat,4,-15.1401,0.0008,-16.2361,0.0006,-16.2361,0.0006,3.50,3601.363,108.2077,792,840,148.7361087,+69.1123092,862.668,122.741,6.77,0.0003516307,1.021,0.021,1.00,3.015,dataset\r24.cat,117,-15.2030,0.0008,-16.4543,0.0005,-16.4543,0.0005,3.50,2790.642,90.98881,988,1059,148.7308540,+69.1139264,819.043,175.724,7.29,0.0003785826,1.118,0.106,1.00,3.313,dataset\g24.cat
4388,-15.0865,0.0009,-15.9674,0.0007,-15.9674,0.0007,3.50,4436.214,158.8562,451,474,148.7796757,+69.2306610,531.445,2318.773,7.09,0.000368372,1.047,0.045,1.00,2.689,dataset\i24.cat,3137,-15.0964,0.0008,-15.9637,0.0006,-15.9637,0.0006,3.50,2359.341,108.2077,531,561,148.7780894,+69.2306392,565.547,2399.183,5.33,0.0002769166,1.045,0.043,1.00,2.700,dataset\r24.cat,3309,-15.1192,0.0008,-16.1319,0.0006,-16.1319,0.0006,3.50,1646.605,90.98881,693,724,148.7743399,+69.2321010,511.457,2450.852,5.83,0.0003026155,1.111,0.100,1.00,2.963,dataset\g24.cat
4937,-15.0786,0.0009,-15.8676,0.0008,-15.8676,0.0008,3.50,4312.349,158.8562,458,478,148.6514898,+69.3379066,1393.794,4387.448,5.76,0.0002994558,1.059,0.055,1.00,2.561,dataset\i24.cat,3640,-15.0377,0.0009,-15.8539,0.0007,-15.8539,0.0007,3.50,2223.126,108.2077,554,577,148.6501725,+69.3378816,1427.026,4468.121,5.00,0.000259497,1.045,0.043,1.00,2.619,dataset\r24.cat,3753,-15.0371,0.0009,-16.0093,0.0006,-16.0093,0.0006,3.50,1523.897,90.98881,576,598,148.6477758,+69.3395598,1363.482,4523.732,5.43,0.0002821454,1.085,0.078,0.99,2.888,dataset\g24.cat
3529,-15.0476,0.0009,-15.7981,0.0008,-15.8208,0.0009,3.50,4389.657,158.8562,376,391,148.6153863,+69.1876151,1658.408,1495.762,5.15,0.0002676065,1.071,0.066,1.00,2.502,dataset\i24.cat,2432,-15.0122,0.0009,-15.8191,0.0007,-15.8408,0.0008,3.50,2316.324,108.2077,442,464,148.6139554,+69.1876407,1692.382,1576.757,4.87,0.0002529386,1.066,0.062,1.00,2.597,dataset\r24.cat,2406,-14.9690,0.0009,-16.0357,0.0006,-16.0357,0.0006,3.50,1627.208,90.98881,718,766,148.6094434,+69.1893681,1642.721,1633.682,6.31,0.0003278843,1.350,0.259,0.99,3.083,dataset\g24.cat
4688,-15.1279,0.0008,-16.7504,0.0005,-16.7504,0.0005,3.50,4278.919,158.8562,736,777,148.6495247,+69.2619651,1415.387,2929.077,21.39,0.001110928,1.381,0.276,0.97,3.871,dataset\i24.cat,3401,-15.1880,0.0008,-16.1904,0.0006,-16.1904,0.0006,3.50,2222.573,108.2077,645,672,148.6480743,+69.2621476,1449.034,3010.046,6.03,0.0003131274,1.049,0.047,1.00,2.901,dataset\r24.cat,3596,-14.7809,0.0010,-15.6616,0.0008,-15.6616,0.0008,3.50,1523.246,90.98881,567,596,148.6447643,+69.2638240,1391.970,3066.010,4.84,0.0002516502,1.079,0.074,0.99,2.753,dataset\g24.cat
